item;description;procedure;units;units_specification;value_cent;anaesthetic_units;anaesthetic_units_specification;anaesthetic_value_cent;category;sub_category;sub_sub_category;sub_sub_sub_category;note;tariff
317;Traction;;2000;;14100;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
318;Upper respiratory nebulisation or lavage;;1000;;7050;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
319;Nebulisation;;1509;;10640;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
321;Intermittent positive pressure ventilation;;1509;;10640;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
323;Suction: Level 1 (including sputum specimen taken by suction);;1004;;7070;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
325;Suction: Level 2 (Suction with involvement of lavage as a treatment in a special unit situation or in the respiratory compromised patient);;2009;;14160;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
327;Bagging (used on the intubated unconscious patient or in the severely respiratory distressed patient);;1004;;7070;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
328;Dry needling;;2000;;14100;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2014
401;Spinal;;2513;;17720;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
402;Pre meditated manipulation;;2000;;14100;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
405;All other joints;;2000;;14100;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
407;Immobilisation (excluding materials). Rule 008 does not apply;;1500;;10580;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
410;Facial manipulation;;2000;;14100;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
411;Visceral manipulation;;2000;;14100;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2014
501;Rehabilitation where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;17630;0;;0;REHABILITATION;;;;;namaf_physio_2014
502;Hydrotherapy where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;17630;0;;0;REHABILITATION;;;;;namaf_physio_2014
503;Rehabilitation for Central Nervous System disorders - condition to be clearly stated and fully documented (No other treatment modality may be charged in conjunction with this);;5500;;38780;0;;0;REHABILITATION;;;;;namaf_physio_2014
504;EMG Biofeedback treatment;;2000;;14100;0;;0;REHABILITATION;;;;;namaf_physio_2014
505;Group rehabilitation. Treatment of a patient with disabling pathology in an appropriate facility requiring specific equipment and supervision, without individual attention for the whole treatment session, in accredited venue only and no charge may be levied by facility;;3500;;24680;0;;0;REHABILITATION;;;;;namaf_physio_2014
506;Stress management;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2014
507;Respiratory Re-education and Training;;2211;;15580;0;;0;REHABILITATION;;;;;namaf_physio_2014
508;Hourly rehabilitation facility fee;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2014
701;Evaluation/counselling at the first visit only (to be fully documented);;1500;;10580;0;;0;EVALUATION;;;;;namaf_physio_2014
702;Complex evaluation/counselling at the first visit only (to be fully documented);;3000;;21150;0;;0;EVALUATION;;;;;namaf_physio_2014
703;One complete re-assessment of a patient's condition during the course of treatment, and/or counselling of the patient or his family;;1500;;10580;0;;0;EVALUATION;;;;;namaf_physio_2014
704;Lung function: Peak flow (once per treatment);;504;;3550;0;;0;EVALUATION;;;;;namaf_physio_2014
705;Computerised/Electronic test for lung pathology;;1500;;10580;0;;0;EVALUATION;;;;;namaf_physio_2014
707;Physical Performance test. Must be fully documented;;0;;0;0;;0;EVALUATION;;;;;namaf_physio_2014
801;Electrical test for diagnostic purposes (including IT curve and Isokinetic tests) for a specific medical condition;;3500;;24680;0;;0;EVALUATION;;;;;namaf_physio_2014
803;Effort test - multistage treadmill;;3500;;24680;0;;0;EVALUATION;;;;;namaf_physio_2014
901;Treatment at a nursing home: Relevant fee plus (to be charged only once per day and not with every hospital visit;;1004;;7070;0;;0;VISITING CODES;;;;;namaf_physio_2014
903;Domicilliary treatments: Relevant fee plus;;2000;;14100;0;;0;VISITING CODES;;;;;namaf_physio_2014
117;Appointment not kept (medical aid funds will not necessarily grant benefits in respect of this item, it will fall into the 'By arrangement with the fund' or 'Patient own account' category);;0;;0;0;;0;OTHER;;;;;namaf_physio_2014
937;Bird or equivalent freestanding nebuliser excluding oxygen at hospital per day;;2009;;14160;0;;0;OTHER;;;;;namaf_physio_2014
938;Bird or equivalent freestanding nebuliser excluding oxygen domicilliary per day;;2009;;14160;0;;0;OTHER;;;;;namaf_physio_2014
939;Cost of material: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2014
940;Cost of appliances: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2014
1;Infra-red, Radiant heat, Wax therapy Hot packs;;1000;;9840;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2019
5;Ultraviolet light;;1700;;16720;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2019
6;Laser beam;;1700;;16720;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2019
7;Cryotherapy;;1000;;9840;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2019
103;Galvanism, Diodynamic current, Tens;;1000;;9840;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2019
105;Muscle and nerve stimulating currents;;1200;;11800;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2019
107;Interferential Therapy15;;1500;;14750;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2019
201;Shortwave diathermy;;1500;;14750;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2019
203;Ultrasound;;1700;;16720;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2019
205;Microwave;;1500;;14750;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2019
300;Vibration;;1310;;12880;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
301;Percussion;;1610;;15830;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
302;Massage;;1000;;9840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
303;Myofacial release/soft tissue mobilisation, one or more body parts;;2009;;19760;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
310;Neural tissue mobilisation;;2000;;19670;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
314;Lymph drainage;;1000;;9840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
304;Acupuncture;;2000;;19670;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
305;Re-education of movement/ Exercises (excluding ante- and post-natal exercises);;1004;;9870;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
307;Pre- and post-operative exercises and/or breathing exercises;;1004;;9870;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
308;Group exercises (excluding ante- and post-natal exercises - maximum of 10 in a group);;1000;;9840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
309;Isokinetic treatment;;2000;;19670;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
313;Ante and post natal exercises/counselling;;0;;0;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
315;Postural drainage;;1307;;12850;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
317;Traction;;2000;;19670;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
318;Upper respiratory nebulisation or lavage;;1000;;9840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
319;Nebulisation;;1509;;14840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
321;Intermittent positive pressure ventilation;;1509;;14840;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
323;Suction: Level 1 (including sputum specimen taken by suction);;1004;;9870;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
325;Suction: Level 2 (Suction with involvement of lavage as a treatment in a special unit situation or in the respiratory compromised patient);;2009;;19760;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
327;Bagging (used on the intubated unconscious patient or in the severely respiratory distressed patient);;1004;;9870;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
328;Dry needling;;2000;;19670;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2019
401;Spinal;;2513;;24720;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
402;Pre meditated manipulation;;2000;;19670;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
405;All other joints;;2000;;19670;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
407;Immobilisation (excluding materials). Rule 008 does not apply;;1500;;14750;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
410;Facial manipulation;;2000;;19670;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
411;Visceral manipulation;;2000;;19670;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2019
501;Rehabilitation where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;24590;0;;0;REHABILITATION;;;;;namaf_physio_2019
502;Hydrotherapy where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;24590;0;;0;REHABILITATION;;;;;namaf_physio_2019
503;Rehabilitation for Central Nervous System disorders - condition to be clearly stated and fully documented (No other treatment modality may be charged in conjunction with this);;5500;;54090;0;;0;REHABILITATION;;;;;namaf_physio_2019
504;EMG Biofeedback treatment;;2000;;19670;0;;0;REHABILITATION;;;;;namaf_physio_2019
505;Group rehabilitation. Treatment of a patient with disabling pathology in an appropriate facility requiring specific equipment and supervision, without individual attention for the whole treatment session, in accredited venue only and no charge may be levied by facility;;3500;;34430;0;;0;REHABILITATION;;;;;namaf_physio_2019
506;Stress management;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2019
507;Respiratory Re-education and Training;;2211;;21750;0;;0;REHABILITATION;;;;;namaf_physio_2019
508;Hourly rehabilitation facility fee;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2019
701;Evaluation/counselling at the first visit only (to be fully documented);;1500;;14750;0;;0;EVALUATION;;;;;namaf_physio_2019
702;Complex evaluation/counselling at the first visit only (to be fully documented);;3000;;29500;0;;0;EVALUATION;;;;;namaf_physio_2019
703;One complete re-assessment of a patient's condition during the course of treatment, and/or counselling of the patient or his family;;1500;;14750;0;;0;EVALUATION;;;;;namaf_physio_2019
704;Lung function: Peak flow (once per treatment);;504;;4960;0;;0;EVALUATION;;;;;namaf_physio_2019
705;Computerised/Electronic test for lung pathology;;1500;;14750;0;;0;EVALUATION;;;;;namaf_physio_2019
707;Physical Performance test. Must be fully documented;;0;;0;0;;0;EVALUATION;;;;;namaf_physio_2019
801;Electrical test for diagnostic purposes (including IT curve and Isokinetic tests) for a specific medical condition;;3500;;34430;0;;0;EVALUATION;;;;;namaf_physio_2019
803;Effort test - multistage treadmill;;3500;;34430;0;;0;EVALUATION;;;;;namaf_physio_2019
901;Treatment at a nursing home: Relevant fee plus (to be charged only once per day and not with every hospital visit;;1004;;9870;0;;0;VISITING CODES;;;;;namaf_physio_2019
903;Domicilliary treatments: Relevant fee plus;;2000;;19670;0;;0;VISITING CODES;;;;;namaf_physio_2019
117;Appointment not kept (medical aid funds will not necessarily grant benefits in respect of this item, it will fall into the 'By arrangement with the fund' or 'Patient own account' category);;0;;0;0;;0;OTHER;;;;;namaf_physio_2019
937;Bird or equivalent freestanding nebuliser excluding oxygen at hospital per day;;2009;;19760;0;;0;OTHER;;;;;namaf_physio_2019
938;Bird or equivalent freestanding nebuliser excluding oxygen domicilliary per day;;2009;;19760;0;;0;OTHER;;;;;namaf_physio_2019
939;Cost of material: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2019
940;Cost of appliances: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2019
1;Infra-red, Radiant heat, Wax therapy Hot packs;;1000;;10210;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2020
5;Ultraviolet light;;1700;;17350;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2020
6;Laser beam;;1700;;17360;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2020
7;Cryotherapy;;1000;;10210;0;;0;RADIATION THERAPY / MOIST HEAT / CRYOTHERAPY;;;;;namaf_physio_2020
103;Galvanism, Diodynamic current, Tens;;1000;;10210;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2020
105;Muscle and nerve stimulating currents;;1200;;12250;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2020
107;Interferential Therapy15;;1500;;15320;0;;0;LOW FREQUENCY CURRENTS;;;;;namaf_physio_2020
201;Shortwave diathermy;;1500;;15320;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2020
203;Ultrasound;;1700;;17360;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2020
205;Microwave;;1500;;15320;0;;0;HIGH FREQUENCY CURRENTS;;;;;namaf_physio_2020
300;Vibration;;1310;;13370;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
301;Percussion;;1610;;16440;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
302;Massage;;1000;;10210;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
303;Myofacial release/soft tissue mobilisation, one or more body parts;;2009;;20520;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
310;Neural tissue mobilisation;;2000;;20430;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
314;Lymph drainage;;1000;;10210;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
304;Acupuncture;;2000;;20430;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
305;Re-education of movement/ Exercises (excluding ante- and post-natal exercises);;1004;;10250;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
307;Pre- and post-operative exercises and/or breathing exercises;;1004;;10250;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
308;Group exercises (excluding ante- and post-natal exercises - maximum of 10 in a group);;1000;;10210;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
309;Isokinetic treatment;;2000;;20430;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
313;Ante and post natal exercises/counselling;;0;;0;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
315;Postural drainage;;1307;;13340;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
317;Traction;;2000;;20430;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
318;Upper respiratory nebulisation or lavage;;1000;;10210;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
319;Nebulisation;;1509;;15400;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
321;Intermittent positive pressure ventilation;;1509;;15400;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
323;Suction: Level 1 (including sputum specimen taken by suction);;1004;;10250;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
325;Suction: Level 2 (Suction with involvement of lavage as a treatment in a special unit situation or in the respiratory compromised patient);;2009;;20520;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
327;Bagging (used on the intubated unconscious patient or in the severely respiratory distressed patient);;1004;;10250;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
328;Dry needling;;2000;;20430;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
329;Extra-Corporeal Shock-Wave Therapy (ESWT);;0;;0;0;;0;PHYSICAL MODALITIES;;;;;namaf_physio_2020
401;Spinal;;2513;;25660;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
402;Pre meditated manipulation;;2000;;20430;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
405;All other joints;;2000;;20430;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
407;Immobilisation (excluding materials). Rule 008 does not apply;;1500;;15320;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
410;Facial manipulation;;2000;;20430;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
411;Visceral manipulation;;2000;;20430;0;;0;MANIPULATION/MOBILISATION OF JOINTS OR IMMOBILISATION;;;;;namaf_physio_2020
501;Rehabilitation where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;25530;0;;0;REHABILITATION;;;;;namaf_physio_2020
502;Hydrotherapy where the pathology requires the undivided attention of the physiotherapist. Rule 008 does not apply;;2500;;25530;0;;0;REHABILITATION;;;;;namaf_physio_2020
503;Rehabilitation for Central Nervous System disorders - condition to be clearly stated and fully documented (No other treatment modality may be charged in conjunction with this);;5500;;56160;0;;0;REHABILITATION;;;;;namaf_physio_2020
504;EMG Biofeedback treatment;;2000;;20430;0;;0;REHABILITATION;;;;;namaf_physio_2020
505;Group rehabilitation. Treatment of a patient with disabling pathology in an appropriate facility requiring specific equipment and supervision, without individual attention for the whole treatment session, in accredited venue only and no charge may be levied by facility;;3500;;35740;0;;0;REHABILITATION;;;;;namaf_physio_2020
506;Stress management;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2020
507;Respiratory Re-education and Training;;2211;;22580;0;;0;REHABILITATION;;;;;namaf_physio_2020
508;Hourly rehabilitation facility fee;;0;;0;0;;0;REHABILITATION;;;;;namaf_physio_2020
701;Evaluation/counselling at the first visit only (to be fully documented);;1500;;15320;0;;0;EVALUATION;;;;;namaf_physio_2020
702;Complex evaluation/counselling at the first visit only (to be fully documented);;3000;;30630;0;;0;EVALUATION;;;;;namaf_physio_2020
703;One complete re-assessment of a patient's condition during the course of treatment, and/or counselling of the patient or his family;;1500;;15320;0;;0;EVALUATION;;;;;namaf_physio_2020
704;Lung function: Peak flow (once per treatment);;504;;5150;0;;0;EVALUATION;;;;;namaf_physio_2020
705;Computerised/Electronic test for lung pathology;;1500;;15320;0;;0;EVALUATION;;;;;namaf_physio_2020
707;Physical Performance test. Must be fully documented;;0;;0;0;;0;EVALUATION;;;;;namaf_physio_2020
801;Electrical test for diagnostic purposes (including IT curve and Isokinetic tests) for a specific medical condition;;3500;;35740;0;;0;EVALUATION;;;;;namaf_physio_2020
803;Effort test - multistage treadmill;;3500;;35740;0;;0;EVALUATION;;;;;namaf_physio_2020
901;Treatment at a nursing home: Relevant fee plus (to be charged only once per day and not with every hospital visit;;1004;;10250;0;;0;VISITING CODES;;;;;namaf_physio_2020
903;Domicilliary treatments: Relevant fee plus;;2000;;20430;0;;0;VISITING CODES;;;;;namaf_physio_2020
117;Appointment not kept (medical aid funds will not necessarily grant benefits in respect of this item, it will fall into the 'By arrangement with the fund' or 'Patient own account' category);;0;;0;0;;0;OTHER;;;;;namaf_physio_2020
937;Bird or equivalent freestanding nebuliser excluding oxygen at hospital per day;;2009;;20520;0;;0;OTHER;;;;;namaf_physio_2020
938;Bird or equivalent freestanding nebuliser excluding oxygen domicilliary per day;;2009;;20520;0;;0;OTHER;;;;;namaf_physio_2020
939;Cost of material: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2020
940;Cost of appliances: Single items below N$ 3576.10 plus VAT may be charged for at cost price plus 20%;;0;;0;0;;0;OTHER;;;;;namaf_physio_2020
46;Where in the treatment of a specific fracture or dislocation (compound or closed) an initial procedure is followed within one month by an open reduction, internal fixation, external skeletal fixation or bone grafting on the same bone, the fee for the initial treatment of that fracture or dislocation shall be reduced by 50%. Please note: This reduction does not include the assistant's fee or after-hours levy where applicable. After one month, a full fee as for the initial treatment, is applicable;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
47;A fracture NOT requiring reduction shall be charged on a fee per service basis;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
48;Where in the treatment of a fracture or dislocation an initial closed reduction is followed within one month by further closed reductions under general anaesthesia, the fee for such subsequent reductions will be 27,00 clinical procedure units (not including after-care);Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
49;Except where otherwise specified, in cases of compound fractures, 77,00 clinical procedure units (specialists) and 51,00 clinical procedure units (general practitioners) are to be added to the units for the fractures including debridement;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
50;In cases of a compound fracture where a debridement is followed by internal fixation (excluding fixation with Kirschner wires), the full amount according to either modifier 0049 or 0051 may be  added to the fee for the procedure involved, plus half of the amount according to the second modifier (either 0049 or 0051 as applicable);Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
51;Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting: Specialists add 77,00 clinical procedure units. General practitioners add 51,00 clinical procedure units.;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
53;"Fracture requiring percutaneous internal fixation [insertion and removal of fixatives (wires) in respect of fingers and toes included]: Specialists add 32,00 clinical procedure units; general practitioners add 21,00 clinical procedure units";Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
55;Dislocation requiring open reduction: Units for the specific joint plus 77,00 clinical procedure units for specialists. General practitioners add 51,00 clinical procedure units;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
57;Multiple procedures on feet: In multiple procedures on feet, fees for the first foot are calculated according to modifier 0005: Multiple procedures/operations under the same anaesthetic. Calculate fees for the second foot in the same way, reduce the total to 75% and add to the total for the first foot;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
58;Revision operation for total joint replacement and immediate resubstitution (infected or non-infected): per fee for total joint replacement + 100%;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;;;;;namaf_orthopaedic_surgeons_2020
61;In cases of combined procedures on the spine, both the orthopaedic surgeon and the neurosurgeon are entitled to the full fee for the relevant part of the operation performed;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIER GOVERNING COMBINED PROCEDURES ON THE SPINE;;;;namaf_orthopaedic_surgeons_2020
63;Where two specialists work together on a replantation procedure, each shall be entitled to two-thirds of the fee for the procedure;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIERS GOVERNING THE SUBSECTION REPLANTATION OPERATION;;;;namaf_orthopaedic_surgeons_2020
64;Where the replantation is unsuccessful, no further surgical fee is payable for amputation of the non-viable parts;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIERS GOVERNING THE SUBSECTION REPLANTATION OPERATION;;;;namaf_orthopaedic_surgeons_2020
65;Additional operative procedures by same surgeon (other than the first two items listed under this heading) within a period of 12 months: 75% of scheduled fee for the lesser procedure, except where otherwise specified elsewhere;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIER: SECTION SPINAL DEFORMITIES;;;;namaf_orthopaedic_surgeons_2020
66;Where microsurgical techniques are used, with the aid of a microscope 25% may be added to the fee;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIER: MICROSURGERY OF THE FALLOPIAN-TUBES AND OVARIES;;;;namaf_orthopaedic_surgeons_2020
67;Microsurgery of the larynx: To the fee of the operation performed add 25%;Modifier;0;;0;0;;0;MUSCULO-SKELETAL SYSTEM;MODIFIER GOVERNING THE SECTION LARYNX;;;;namaf_orthopaedic_surgeons_2020
